Забейворота Антон Сергеевич        15031955:м:со:1:2:ин:+:6000:151
Мусина Земфира Рашидовна           30071960:ж:во:1:1:пр:-:9000:10
Крупская Юлия Викторовна           13031970:ж:во:0:0:бу:-:5500:12
Демагин Сергей Юрьевич             22021964:м:ст:0:0:сл:+:7000:17
Стукало Оксана Александровна       12081975:ж:нв:1:3:пр:+:8100:12
Сысоева Елена Алексеевна           25111972:ж:во:1:1:эк:-:6900:8
Чекмарева Татьяна Сергеевна        18111974:ж:во:1:2:пр:+:11500:11
Уразаев Георгий Иванович           17051969:м:со:0:0:во:+:5900:20
Семин Вадим Михайлович             21121967:м:но:1:1:во:+:6200:7
Соколов Александр Валерьевич       03031956:м:во:1:2:юр:+:15000:15
Пятеркин Алексей Юрьевич           14011951:м:во:1:4:сл:-:12000:20
Мухамедярова Лилия Ильгизаровна    01051962:ж:ст:0:0:бу:-:7400:11
Чавкина Ольга Юрьевна              12071963:ж:во:1:2:эк:+:14000:10
Сундукова Майя Наилевна            09091959:ж:во:1:1:пр:+:9100:9
Салихов Тимур Афанасьевич          15111955:м:во:1:3:пр:-:10000:12
Проклов Михаил Саидович            16081984:м:но:0:0:юр:-:10000:7
Шипелов Алекс Суррогатович         12041945:м:ст:1:4:бу:+:7000:2
Ермолаев Прокопий Спиридонович     14111956:м:со:1:3:пр:+:9000:25
Юнусова Дарофея Николаевна         29101947:ж:нв:1:5:по:-:10000:30
Зиганцова Феокла Савовна           23111967:ж:во:1:11:эк:-:4000:15
Пофнутьев Самоий Амперович         14111978:м:нв:0:0:юр:+:5500:10
Варанцова Ольга Варлеевна          13121967:ж:во:1:10:бу:-:3500:1
Иванов Иван Проклович              15111981:м:ст:1:2:пр:+:7800:2
Варанов Ивор Жданович              23121968:м:нв:1:7:сл:+:6000:15
Пескарев Вано Кацович              23121939:м:во:1:19:ст:+:10000:40
Харитонов Армян Вольтович          12121957:м:во:1:3:бу:-:9234:23
Васильева Даздраперма Ивановна     12121984:ж:но:0:0:ст:-:1087:1
Александров Сергей Михайлович      12041984:м:но:1:2:бу:+:1000:5
Волкова Татьяна Андреевна          15011982:ж:со:0:3:ин:-:3000:6
Бастрокова Света Владимировна      12021986:ж:нв:1:0:пр:+:6000:10
Григорьевых Константин Петрсянович 16031923:м:во:1:2:по:+:9000:23
Ельцов Михаил Сергеевич            18041985:м:но:0:3:бу:-:5600:2
Иванов Иван Иванович               19051923:м:во:0:2:юр:+:3560:30
Прищепа Александр Александрович    01061943:м:ст:0:0:пр:+:5620:26
Полчанинов Александр Петрович      02071928:м:со:1:2:ин:-:3200:33
Паномарев Александр Сергеевич      09081985:м:но:1:3:во:-:100:1
Гайфулин Владислав Ирекович        23091932:м:нв:1:0:бу:+:3200:25
Галиутдинов Ильнар Сагитович       24101986:м:во:0:3:по:+:420:2
Соя Антон Петрович                 15111967:м:со:1:1:пр:+:3596:32
Филимонов Александр Григорьевич    16121995:м:во:1:0:ст:+:4520:0
Перютко Екатерина Владимировна     16051983:ж:нв:1:3:бу:-:6000:1
Баканова Екатерина Михайловна      20031984:ж:но:0:2:ин:+:8508:2
Гопова Револьвера Павловна         15071967:ж:во:1:7:ин:+:23007:17
Залепукин Раиль Марсулович         12051983:м:но:0:4:во:+:4500:3
Выборнов Ильдус Юнусович           13091974:м:во:1:0:ст:-:2000:4
Багрова Вероника Михайловна        11121958:ж:но:0:3:эк:+:12000:18
Валиуллина Рушания Сахаповна       27011959:ж:со:1:5:юр:-:3852:11
Грачев Герман Тимофеевич           03031975:м:во:0:0:во:+:2345:1
Давыдова Мария Евгеньевна          11051970:ж:ст:1:0:по:+:4500:7
Земсков Никита Александрович       23071959:м:во:1:2:ст:-:2135:13
Калинин Евгений Валерьевич         30031971:м:со:1:2:бу:+:6000:8
Зиннатов Петр Павлович             25111960:м:ст:0:2:сл:-:2300:15
